PCA_1	PCA_2	Labels
0.0015	0.0161	0
-0.1763	0.0227	0
0.0168	-0.047	0
0.0309	0.0372	0
0.0162	0.0281	0
-0.0176	-0.0085	0
0.0386	0.05	0
-0.0951	0.0083	0
0.0177	0.0056	0
0.0081	-0.0219	0
0.0105	-0.0327	0
0.0411	0.0538	0
0.0298	0.0355	0
0.0424	0.0595	0
-0.0385	0.0048	0
0.0103	-0.0308	0
0.0206	0.0231	0
-0.0178	0.0079	0
0.0065	-0.0182	0
0.028	0.0294	0
0.0243	0.0268	0
0.0084	-0.0399	0
0.0216	0.0282	0
0.0245	0.0491	0
0.0302	0.0384	0
0.0045	-0.0131	0
-0.076	0.013	0
-0.0224	-0.0084	0
0.0334	0.046	0
0.0123	0.0317	0
0.0287	0.0296	0
0.0194	0.0294	0
0.0383	0.051	0
0.0168	0.0232	0
-0.0022	0.0221	0
0.0304	0.0375	0
0.0399	0.0563	0
-0.0039	-0.0099	0
0.0054	-0.0477	0
0.0403	0.0516	0
0.0165	-0.0296	0
0.0194	0.0228	0
0.0244	0.0328	0
0.0026	0.0171	1
0.001	0.0083	1
0.0182	0.0187	1
0.0167	0.0178	1
0.0355	0.0397	1
0.0133	0.0179	1
0.0314	0.0377	1
0.0215	0.0329	1
0.0205	0.031	1
0.0278	0.0287	1
0.0385	0.0497	1
-0.0124	0.0097	1
-0.0191	0.0018	1
0.0165	0.0316	1
0	0.0163	1
-0.0342	0.0105	1
0.0096	0.0209	1
0.0114	-0.0091	1
0.0279	0.036	1
-0.015	-0.0031	1
0.0255	0.0313	1
0.027	0.0242	1
0.0222	0.0306	1
0.0488	0.0692	1
0.0184	0.0143	1
0.042	0.0572	1
-0.0485	0.0166	1
-0.0435	0.0057	1
-0.0077	0.0082	1
0.0109	0.0039	1
0.0263	0.0263	1
0.0287	0.0326	1
0.0165	-0.0119	1
0.0336	0.0397	1
0.0323	0.0336	1
0.0423	0.0565	1
0.027	0.0315	1
0.0226	0.0289	1
0.0171	0.0012	1
0.0227	0.0241	1
0.0399	0.0528	1
-0.011	0.0102	1
0.0275	0.031	1
0.0342	0.0353	1
0.0208	0.0221	1
0.0211	0.0282	1
0.0217	0.0242	1
0.0321	0.0403	1
-0.0061	0.0071	1
0.0278	0.0341	1
0.0037	0.0048	1
0.0223	0.0508	1
0.0027	0.0214	1
0.0222	0.0251	1
0.0239	0.032	1
0.0179	0.0195	1
0.0214	0.0314	1
0.0268	0.0266	1
0.0247	0.0335	1
0.027	0.0248	1
0.0315	0.0432	1
0.0396	0.0552	1
0.025	0.0347	1
0.0228	0.0188	1
0.0253	0.0321	1
-0.0104	0.0104	1
0.0371	0.053	1
0.0249	0.024	1
0.0379	0.0517	1
0.0214	0.0247	1
0.0089	0.0326	1
0.0086	0.0356	1
-0.0025	0.0339	1
0.0346	0.0411	1
0.0233	0.0293	1
0.0334	0.0351	1
0.0202	0.021	1
0.021	0.0327	1
0.002	0.0019	1
0.0281	0.0349	1
0.039	0.0542	1
0.009	0.0196	1
0.0207	0.0317	1
0.0418	0.0603	1
0.0413	0.0631	1
0.0441	0.0567	1
0.0423	0.0597	1
0.0448	0.0572	1
0.0091	-0.0003	1
0.0425	0.0529	1
0.0417	0.0564	1
0.0293	0.0291	1
0.0398	0.0511	1
0.0107	-0.0051	1
0.0413	0.0567	1
0.0027	0.0208	1
0.0193	0.025	1
0.0093	0.0152	1
0.0062	0.0229	1
-0.0124	0.0181	1
0.0184	0.0296	1
0.0302	0.0384	1
0.041	0.0528	1
-0.0013	-0.0233	2
-0.0229	-0.0272	2
0.0134	-0.032	2
0.0129	-0.0289	2
-0.0421	-0.0218	2
-0.0175	-0.0482	2
-0.0309	-0.0123	2
0.0085	-0.0245	2
-0.0438	0.0038	2
-0.0218	-0.0148	2
0.0011	-0.0302	2
-0.0278	-0.0201	2
-0.0322	0.0023	2
-0.0494	0.0032	2
0.0126	-0.0278	2
0.0206	-0.0261	2
-0.0021	-0.0217	2
-0.0043	-0.0272	2
0.0035	-0.033	2
0.0131	-0.0332	2
-0.031	-0.0118	2
-0.0144	-0.0487	2
-0.0114	-0.0501	2
0.0149	-0.0473	2
0.0085	-0.0259	2
0.0088	-0.0211	2
0.0159	-0.0266	2
-0.0059	-0.0438	2
0.0194	-0.0567	2
0.011	-0.0267	2
-0.0144	-0.0395	2
0.0112	-0.0236	2
-0.0209	-0.0047	2
-0.0007	-0.0116	2
0.0121	-0.0223	2
0.0159	-0.0254	2
-0.0867	0.001	3
-0.1026	0.0039	3
-0.1049	0.0001	3
-0.0942	0.0266	3
-0.1757	0.0236	3
-0.1236	-0.0029	3
-0.1293	0.0159	3
-0.1824	0.0173	3
-0.1363	0.0245	3
-0.0793	-0.01	3
-0.1756	0.0228	3
-0.1754	0.021	3
-0.1677	0.0213	3
-0.2012	0.0223	3
-0.0745	0.0022	3
-0.1549	0.0191	3
-0.129	0.0181	3
